0.0069834, 0.0029913, 0.0039847, 0.0009973, 0.003564, 0.002394, 0.0192, 0.00182
0.0169488, 0.0059837, 0.0049875, 0.0009977, 0.011344, 0.0052665, 0.0267, 0.00267
0.0309211, 0.0099738, 0.0069803, 0.0019944, 0.026124, 0.009264, 0.0342, 0.00352
0.0568461, 0.0149601, 0.0099723, 0.0009972, 0.050154, 0.0143865, 0.0417, 0.00437
0.0867348, 0.0199145, 0.0129346, 0.0029916, 0.085684, 0.020634, 0.0492, 0.00522
0.1326741, 0.0262089, 0.0139934, 0.0019942, 0.134964, 0.0280065, 0.0567, 0.00607
0.2104012, 0.0348747, 0.0169226, 0.0029919, 0.200244, 0.036504, 0.0642, 0.00692
0.2957164, 0.0428839, 0.0199768, 0.0029919, 0.283774, 0.0461265, 0.0717, 0.00777
0.3670075, 0.0528867, 0.0219104, 0.0029919, 0.387804, 0.056874, 0.0792, 0.00862
0.4236271, 0.064927, 0.0239592, 0.0039892, 0.514584, 0.0687465, 0.0867, 0.00947
0.5404368, 0.0764037, 0.0318905, 0.0039892, 0.666364, 0.081744, 0.0942, 0.01032
0.7168769, 0.0867654, 0.0359079, 0.0039893, 0.845394, 0.0958665, 0.1017, 0.01117
0.816762, 0.1323971, 0.0398995, 0.0049865, 1.053924, 0.111114, 0.1092, 0.01202
1.1639172, 0.1266879, 0.036867, 0.0039892, 1.294204, 0.1274865, 0.1167, 0.01287
1.5344589, 0.1482652, 0.0378666, 0.0059838, 1.568484, 0.144984, 0.1242, 0.01372
1.4623559, 0.224425, 0.0398926, 0.0049866, 1.879014, 0.1636065, 0.1317, 0.01457
1.720032, 0.22623, 0.0424222, 0.0069811, 2.228044, 0.183354, 0.1392, 0.01542
2.30123, 0.1829593, 0.0468417, 0.0059842, 2.617824, 0.2042265, 0.1467, 0.01627
2.3717089, 0.2473517, 0.0493729, 0.0069813, 3.050604, 0.226224, 0.1542, 0.01712
